filename,label,title,artist,volume,pause
adkd-flight-gone.mod,flight_gone,flight gone,adkd,64,120
505-23-wavering-kb.mod,wavering_kb,23 wavering kb,505,64,100
andy-chips-asmussen.mod,chips_asmussen,chips asmussen,andy,64,100
chavez-me-doing-me.mod,me_doing_me,me doing me,chavez,64,100
crome-take-me-back.mod,crome_take_me_back,take me back,crome,64,100
curt-cool-bang-for-the-beep.mod,bang_for_beep,bang for the beep,curt cool,64,100
filippp-darkside.mod,darkside,darkside,filippp,64,100
herr-irrtum-die-nmi-miamichip-gang.mod,herr_irrtum,die nmi miamichip gang,herr irrum,64,100
nomistake-wattwurmshredde.mod,no_mistake,wattwurmshredde,nomistake,64,100
novel-django.mod,novel,django,novel,64,100
okeanos-echoes-of-the-past.mod,echoes_past,echoes of the past,okeanos,64,100
slaxx-chipfly.mod,chipfly,chipfly,slaxx,64,100
teis-vproject7.mod,vproject7,vproject7,teis,64,100
vincenzo-rettungsgasse.mod,rettungsgasse,rettungsgasse,uncen20,64,100
wotw-my-life-in-melody.mod,my_life,my life in melody,wotw,64,100
slik-body-chip.mod,slik_body_chip,body chip,slik,64,100
